InputFile,Vertices,Edges,Alpha,Greedy  Search Value,Average Random  Search Value,Average Semi_Greedy  Search Value,Average Local Iteration Count,Average Local  Search Value,Grasp Iteration Count,Best Grasp Value,Best Known Upper Bound
G1,800,19176,0,11245,9571,11031,389,11359,20,11437,12078
G1,800,19176,0,11245,9579,11018,396,11369,50,11449,12078
G1,800,19176,0,11245,9600,11025,394,11368,100,11481,12078
G1,800,19176,0,11245,9590,11020,397,11366,500,11503,12078
G1,800,19176,0,11245,9587,11021,397,11365,1000,11473,12078
G1,800,19176,0.1,11245,9579,11027,385,11359,20,11460,12078
G1,800,19176,0.1,11245,9615,11023,391,11363,50,11445,12078
G1,800,19176,0.1,11245,9596,11025,393,11367,100,11462,12078
G1,800,19176,0.1,11245,9587,11026,394,11363,500,11484,12078
G1,800,19176,0.1,11245,9588,11024,396,11365,1000,11482,12078
G1,800,19176,0.2,11245,9593,11032,384,11354,20,11460,12078
G1,800,19176,0.2,11245,9591,11026,392,11366,50,11447,12078
G1,800,19176,0.2,11245,9588,11036,391,11365,100,11479,12078
G1,800,19176,0.2,11245,9591,11033,394,11366,500,11474,12078
G1,800,19176,0.2,11245,9585,11031,394,11366,1000,11504,12078
G1,800,19176,0.3,11245,9578,11073,375,11366,20,11453,12078
G1,800,19176,0.3,11245,9587,11061,390,11375,50,11480,12078
G1,800,19176,0.3,11245,9601,11056,389,11370,100,11494,12078
G1,800,19176,0.3,11245,9591,11056,389,11368,500,11487,12078
G1,800,19176,0.3,11245,9586,11056,390,11367,1000,11529,12078
G1,800,19176,0.4,11245,9576,11084,371,11368,20,11484,12078
G1,800,19176,0.4,11245,9597,11099,374,11372,50,11443,12078
G1,800,19176,0.4,11245,9586,11095,380,11371,100,11455,12078
G1,800,19176,0.4,11245,9585,11100,381,11370,500,11491,12078
G1,800,19176,0.4,11245,9585,11096,382,11370,1000,11485,12078
G1,800,19176,0.5,11245,9599,11134,361,11370,20,11445,12078
G1,800,19176,0.5,11245,9611,11146,367,11376,50,11468,12078
G1,800,19176,0.5,11245,9577,11145,373,11376,100,11473,12078
G1,800,19176,0.5,11245,9587,11146,372,11373,500,11489,12078
G1,800,19176,0.5,11245,9587,11147,372,11373,1000,11496,12078
G1,800,19176,0.6,11245,9582,11184,355,11366,20,11424,12078
G1,800,19176,0.6,11245,9590,11196,363,11377,50,11459,12078
G1,800,19176,0.6,11245,9603,11188,357,11376,100,11484,12078
G1,800,19176,0.6,11245,9586,11191,363,11379,500,11483,12078
G1,800,19176,0.6,11245,9585,11193,363,11377,1000,11503,12078
G1,800,19176,0.7,11245,9616,11211,346,11376,20,11481,12078
G1,800,19176,0.7,11245,9603,11215,355,11379,50,11480,12078
G1,800,19176,0.7,11245,9580,11221,359,11382,100,11465,12078
G1,800,19176,0.7,11245,9588,11222,359,11382,500,11514,12078
G1,800,19176,0.7,11245,9585,11222,359,11381,1000,11501,12078
G1,800,19176,0.8,11245,9575,11238,346,11384,20,11462,12078
G1,800,19176,0.8,11245,9581,11243,350,11382,50,11461,12078
G1,800,19176,0.8,11245,9589,11237,356,11384,100,11486,12078
G1,800,19176,0.8,11245,9588,11242,354,11385,500,11509,12078
G1,800,19176,0.8,11245,9587,11240,356,11385,1000,11515,12078
G1,800,19176,0.9,11245,9595,11262,345,11382,20,11463,12078
G1,800,19176,0.9,11245,9577,11262,348,11381,50,11481,12078
G1,800,19176,0.9,11245,9590,11258,350,11388,100,11479,12078
G1,800,19176,0.9,11245,9586,11256,352,11385,500,11492,12078
G1,800,19176,0.9,11245,9588,11255,351,11384,1000,11505,12078
G1,800,19176,1,11245,9602,11246,336,11374,20,11488,12078
G1,800,19176,1,11245,9610,11262,339,11380,50,11497,12078
G1,800,19176,1,11245,9581,11267,351,11389,100,11499,12078
G1,800,19176,1,11245,9588,11261,350,11386,500,11509,12078
G1,800,19176,1,11245,9589,11262,350,11384,1000,11517,12078
G10,800,19176,0,1582,-90,1383,392,1749,20,1841,
G10,800,19176,0,1582,-84,1381,389,1739,50,1846,
G10,800,19176,0,1582,-83,1372,396,1743,100,1841,
G10,800,19176,0,1582,-73,1376,398,1744,500,1890,
G10,800,19176,0,1582,-78,1379,399,1741,1000,1877,
G10,800,19176,0.1,1582,-100,1377,393,1748,20,1849,
G10,800,19176,0.1,1582,-66,1371,397,1746,50,1843,
G10,800,19176,0.1,1582,-87,1379,400,1743,100,1847,
G10,800,19176,0.1,1582,-84,1381,397,1741,500,1856,
G10,800,19176,0.1,1582,-79,1382,398,1744,1000,1875,
G10,800,19176,0.2,1582,-77,1388,382,1744,20,1823,
G10,800,19176,0.2,1582,-80,1377,394,1739,50,1844,
G10,800,19176,0.2,1582,-74,1378,394,1741,100,1836,
G10,800,19176,0.2,1582,-87,1378,399,1744,500,1864,
G10,800,19176,0.2,1582,-77,1378,398,1742,1000,1878,
G10,800,19176,0.3,1582,-93,1374,389,1738,20,1830,
G10,800,19176,0.3,1582,-91,1377,398,1746,50,1822,
G10,800,19176,0.3,1582,-83,1376,394,1739,100,1846,
G10,800,19176,0.3,1582,-83,1380,400,1745,500,1871,
G10,800,19176,0.3,1582,-80,1384,398,1744,1000,1867,
G10,800,19176,0.4,1582,-69,1401,386,1744,20,1831,
G10,800,19176,0.4,1582,-71,1390,389,1741,50,1806,
G10,800,19176,0.4,1582,-80,1397,389,1742,100,1888,
G10,800,19176,0.4,1582,-84,1398,393,1743,500,1880,
G10,800,19176,0.4,1582,-77,1396,395,1744,1000,1878,
G10,800,19176,0.5,1582,-72,1418,372,1739,20,1826,
G10,800,19176,0.5,1582,-69,1431,381,1748,50,1838,
G10,800,19176,0.5,1582,-85,1433,381,1738,100,1849,
G10,800,19176,0.5,1582,-80,1434,387,1745,500,1874,
G10,800,19176,0.5,1582,-79,1435,387,1745,1000,1935,
G10,800,19176,0.6,1582,-82,1498,373,1757,20,1851,
G10,800,19176,0.6,1582,-72,1501,376,1759,50,1842,
G10,800,19176,0.6,1582,-77,1494,372,1742,100,1843,
G10,800,19176,0.6,1582,-79,1492,375,1746,500,1892,
G10,800,19176,0.6,1582,-82,1495,375,1749,1000,1862,
G10,800,19176,0.7,1582,-94,1544,365,1759,20,1826,
G10,800,19176,0.7,1582,-82,1543,368,1756,50,1864,
G10,800,19176,0.7,1582,-84,1543,366,1758,100,1862,
G10,800,19176,0.7,1582,-81,1541,366,1751,500,1881,
G10,800,19176,0.7,1582,-78,1538,368,1754,1000,1884,
G10,800,19176,0.8,1582,-70,1577,354,1758,20,1839,
G10,800,19176,0.8,1582,-62,1569,357,1751,50,1841,
G10,800,19176,0.8,1582,-82,1566,363,1755,100,1873,
G10,800,19176,0.8,1582,-79,1569,362,1757,500,1879,
G10,800,19176,0.8,1582,-80,1567,363,1755,1000,1885,
G10,800,19176,0.9,1582,-68,1592,351,1760,20,1864,
G10,800,19176,0.9,1582,-81,1591,355,1755,50,1861,
G10,800,19176,0.9,1582,-72,1594,353,1758,100,1845,
G10,800,19176,0.9,1582,-79,1590,358,1758,500,1900,
G10,800,19176,0.9,1582,-82,1589,358,1759,1000,1876,
G10,800,19176,1,1582,-58,1595,353,1763,20,1811,
G10,800,19176,1,1582,-99,1596,357,1759,50,1865,
G10,800,19176,1,1582,-83,1593,355,1753,100,1860,
G10,800,19176,1,1582,-84,1600,356,1759,500,1889,
G10,800,19176,1,1582,-81,1599,356,1758,1000,1917,
G11,800,1600,0,496,16,407,97,434,20,462,627
G11,800,1600,0,496,13,411,99,435,50,462,627
G11,800,1600,0,496,19,411,98,436,100,476,627
G11,800,1600,0,496,16,411,99,435,500,476,627
G11,800,1600,0,496,17,411,99,435,1000,474,627
G11,800,1600,0.1,496,21,415,96,438,20,464,627
G11,800,1600,0.1,496,18,413,98,437,50,464,627
G11,800,1600,0.1,496,18,411,99,436,100,466,627
G11,800,1600,0.1,496,16,411,100,435,500,478,627
G11,800,1600,0.1,496,16,412,99,435,1000,476,627
G11,800,1600,0.2,496,17,413,95,434,20,476,627
G11,800,1600,0.2,496,20,413,99,438,50,474,627
G11,800,1600,0.2,496,19,410,98,433,100,464,627
G11,800,1600,0.2,496,16,411,99,435,500,474,627
G11,800,1600,0.2,496,17,411,99,435,1000,478,627
G11,800,1600,0.3,496,16,413,96,434,20,464,627
G11,800,1600,0.3,496,15,412,99,436,50,466,627
G11,800,1600,0.3,496,16,412,99,437,100,468,627
G11,800,1600,0.3,496,17,412,99,435,500,476,627
G11,800,1600,0.3,496,18,413,99,436,1000,476,627
G11,800,1600,0.4,496,14,418,98,439,20,478,627
G11,800,1600,0.4,496,18,414,97,436,50,464,627
G11,800,1600,0.4,496,17,417,98,437,100,472,627
G11,800,1600,0.4,496,16,415,99,436,500,478,627
G11,800,1600,0.4,496,17,415,99,436,1000,480,627
G11,800,1600,0.5,496,10,421,97,437,20,462,627
G11,800,1600,0.5,496,19,421,98,440,50,474,627
G11,800,1600,0.5,496,15,422,98,438,100,476,627
G11,800,1600,0.5,496,15,425,98,439,500,486,627
G11,800,1600,0.5,496,16,424,98,439,1000,482,627
G11,800,1600,0.6,496,18,452,93,449,20,482,627
G11,800,1600,0.6,496,18,449,94,446,50,496,627
G11,800,1600,0.6,496,16,450,95,447,100,492,627
G11,800,1600,0.6,496,18,450,95,447,500,500,627
G11,800,1600,0.6,496,16,449,96,447,1000,496,627
G11,800,1600,0.7,496,14,471,92,454,20,500,627
G11,800,1600,0.7,496,14,469,94,455,50,496,627
