InputFile,Vertices,Edges,Alpha,Greedy  Search Value,Average Random  Search Value,Average Semi_Greedy  Search Value,Average Local Iteration Count,Average Local  Search Value,Grasp Iteration Count,Best Grasp Value,Best Known Upper Bound
G1,800,19176,0,11245,9571,11031,389,11359,20,11437,12078
,,,,,9579,11018,396,11369,50,11449,
,,,,,9600,11025,394,11368,100,11481,
,,,,,9590,11020,397,11366,500,11503,
,,,,,9587,11021,,11365,1000,11473,
,,,0.1,,9579,11027,385,11359,20,11460,
,,,,,9615,11023,391,11363,50,11445,
,,,,,9596,11025,393,11367,100,11462,
,,,,,9587,11026,394,11363,500,11484,
,,,,,9588,11024,396,11365,1000,11482,
,,,0.2,,9593,11032,384,11354,20,11460,
,,,,,9591,11026,392,11366,50,11447,
,,,,,9588,11036,391,11365,100,11479,
,,,,,9591,11033,394,11366,500,11474,
,,,,,9585,11031,,,1000,11504,
,,,0.3,,9578,11073,375,,20,11453,
,,,,,9587,11061,390,11375,50,11480,
,,,,,9601,11056,389,11370,100,11494,
,,,,,9591,,,11368,500,11487,
,,,,,9586,,390,11367,1000,11529,
,,,0.4,,9576,11084,371,11368,20,11484,
,,,,,9597,11099,374,11372,50,11443,
,,,,,9586,11095,380,11371,100,11455,
,,,,,9585,11100,381,11370,500,11491,
,,,,,,11096,382,,1000,11485,
,,,0.5,,9599,11134,361,,20,11445,
,,,,,9611,11146,367,11376,50,11468,
,,,,,9577,11145,373,,100,11473,
,,,,,9587,11146,372,11373,500,11489,
,,,,,,11147,,,1000,11496,
,,,0.6,,9582,11184,355,11366,20,11424,
,,,,,9590,11196,363,11377,50,11459,
,,,,,9603,11188,357,11376,100,11484,
,,,,,9586,11191,363,11379,500,11483,
,,,,,9585,11193,,11377,1000,11503,
,,,0.7,,9616,11211,346,11376,20,11481,
,,,,,9603,11215,355,11379,50,11480,
,,,,,9580,11221,359,11382,100,11465,
,,,,,9588,11222,,,500,11514,
,,,,,9585,,,11381,1000,11501,
,,,0.8,,9575,11238,346,11384,20,11462,
,,,,,9581,11243,350,11382,50,11461,
,,,,,9589,11237,356,11384,100,11486,
,,,,,9588,11242,354,11385,500,11509,
,,,,,9587,11240,356,,1000,11515,
,,,0.9,,9595,11262,345,11382,20,11463,
,,,,,9577,,348,11381,50,11481,
,,,,,9590,11258,350,11388,100,11479,
,,,,,9586,11256,352,11385,500,11492,
,,,,,9588,11255,351,11384,1000,11505,
,,,1,,9602,11246,336,11374,20,11488,
,,,,,9610,11262,339,11380,50,11497,
,,,,,9581,11267,351,11389,100,11499,
,,,,,9588,11261,350,11386,500,11509,
,,,,,9589,11262,,11384,1000,11517,
G10,,,0,1582,-90,1383,392,1749,20,1841,
,,,,,-84,1381,389,1739,50,1846,
,,,,,-83,1372,396,1743,100,1841,
,,,,,-73,1376,398,1744,500,1890,
,,,,,-78,1379,399,1741,1000,1877,
,,,0.1,,-100,1377,393,1748,20,1849,
,,,,,-66,1371,397,1746,50,1843,
,,,,,-87,1379,400,1743,100,1847,
,,,,,-84,1381,397,1741,500,1856,
,,,,,-79,1382,398,1744,1000,1875,
,,,0.2,,-77,1388,382,,20,1823,
,,,,,-80,1377,394,1739,50,1844,
,,,,,-74,1378,,1741,100,1836,
,,,,,-87,,399,1744,500,1864,
,,,,,-77,,398,1742,1000,1878,
,,,0.3,,-93,1374,389,1738,20,1830,
